Start Year,Region,Total Deaths,No Affected,Total Damages ('000 US$),Insured Damages ('000 US$)
1900,Caribbean,300.0,0.0,0.0,0.0
1903,Northern America,250.0,0.0,480000.0,0.0
1906,Western Europe,6.0,0.0,0.0,0.0
1909,Northern America,72.0,0.0,0.0,0.0
1910,Eastern Asia,1379.0,0.0,0.0,0.0
1911,Eastern Asia,100000.0,0.0,0.0,0.0
1915,Eastern Asia,0.0,3000000.0,0.0,0.0
1917,Eastern Asia,0.0,635000.0,0.0,0.0
1920,Western Europe,0.0,0.0,20000.0,0.0
1925,Western Europe,0.0,0.0,19000.0,0.0
1926,Eastern Europe,1000.0,0.0,0.0,0.0
1926,Southern Asia,0.0,0.0,0.0,0.0
1926,Western Europe,0.0,0.0,31000.0,0.0
1927,Northern Africa,3000.0,0.0,0.0,0.0
1927,Northern America,246.0,0.0,230.0,0.0
1928,Southern Asia,36.0,0.0,0.0,0.0
1928,Western Europe,0.0,6000.0,0.0,0.0
1930,Western Europe,0.0,0.0,0.0,0.0
1931,Eastern Asia,3700000.0,0.0,1400000.0,0.0
1933,Caribbean,53.0,0.0,0.0,0.0
1933,Eastern Asia,18000.0,0.0,0.0,0.0
1935,Eastern Asia,142000.0,10030000.0,0.0,0.0
1936,Northern America,200.0,0.0,0.0,0.0
1937,Caribbean,111.0,0.0,0.0,0.0
1937,Northern America,137.0,0.0,438000.0,0.0
1938,Australia and New Zealand,21.0,0.0,0.0,0.0
1938,Eastern Asia,933.0,0.0,0.0,0.0
1939,Eastern Asia,500000.0,0.0,0.0,0.0
1939,Southern Europe,10.0,0.0,0.0,0.0
1940,Caribbean,125.0,0.0,0.0,0.0
1943,Eastern Asia,990.0,0.0,0.0,0.0
1943,Northern America,0.0,0.0,900000.0,0.0
1947,Eastern Asia,2000.0,0.0,0.0,0.0
1948,Eastern Asia,330.0,0.0,0.0,0.0
1948,Northern America,55.0,0.0,0.0,0.0
1948,South America,200.0,0.0,0.0,0.0
1948,Western Asia,332.0,0.0,0.0,0.0
1949,Central America,40000.0,0.0,15000.0,0.0
1949,Eastern Asia,57000.0,0.0,0.0,0.0
1950,Eastern Asia,627.0,10000000.0,0.0,0.0
1950,Northern America,34.0,107000.0,100000.0,0.0
1950,South America,50.0,0.0,0.0,0.0
1950,Southern Asia,3097.0,25000.0,0.0,0.0
1951,Eastern Asia,5106.0,318534.0,0.0,0.0
1951,Northern Africa,131.0,0.0,0.0,0.0
1951,Northern America,41.0,0.0,1029000.0,0.0
1951,Southern Asia,225.0,0.0,0.0,0.0
1951,Southern Europe,163.0,0.0,300000.0,0.0
1952,Central America,140.0,0.0,0.0,0.0
1952,Northern Africa,25.0,0.0,0.0,0.0
1952,Northern Europe,34.0,0.0,0.0,0.0
1953,Eastern Asia,3967.0,1886760.0,0.0,0.0
1953,South America,71.0,0.0,0.0,0.0
1953,South-Eastern Asia,114.0,0.0,0.0,0.0
1953,Southern Asia,812.0,0.0,0.0,0.0
1953,Southern Europe,150.0,0.0,0.0,0.0
1953,Western Europe,2011.0,300350.0,300000.0,0.0
1954,Eastern Asia,32000.0,0.0,0.0,0.0
1954,Northern Africa,30.0,0.0,0.0,0.0
1954,Southern Asia,2406.0,0.0,0.0,0.0
1954,Western Asia,0.0,0.0,50000.0,0.0
1955,Australia and New Zealand,70.0,0.0,0.0,0.0
1955,Northern America,74.0,0.0,0.0,0.0
1955,Western Asia,440.0,0.0,0.0,0.0
1956,Eastern Asia,2000.0,0.0,0.0,0.0
1956,Southern Asia,1471.0,0.0,0.0,0.0
1956,Western Asia,138.0,0.0,0.0,0.0
1956,Western Europe,4.0,0.0,0.0,0.0
1957,Eastern Asia,1799.0,258240.0,0.0,0.0
1957,South America,112.0,0.0,0.0,0.0
1957,Southern Asia,384.0,10000.0,0.0,0.0
1957,Southern Europe,77.0,0.0,0.0,0.0
1957,Western Asia,99.0,0.0,0.0,0.0
1958,South America,360.0,0.0,0.0,0.0
1958,Southern Asia,5.0,5000.0,0.0,0.0
1958,Western Europe,35.0,0.0,0.0,0.0
1959,Caribbean,50.0,0.0,0.0,0.0
1959,Central America,2000.0,0.0,0.0,0.0
1959,Eastern Asia,2000290.0,0.0,0.0,0.0
1959,South America,284.0,0.0,0.0,0.0
1959,Southern Africa,51.0,0.0,0.0,0.0
1959,Southern Asia,721.0,13000.0,0.0,0.0
1960,Central America,325.0,0.0,0.0,0.0
1960,Eastern Asia,15.0,7000.0,0.0,0.0
1960,Southern Asia,10237.0,160000.0,0.0,0.0
1961,Eastern Africa,200.0,0.0,0.0,0.0
1961,Eastern Asia,606.0,1302384.0,0.0,0.0
1961,Southern Asia,3057.0,0.0,0.0,0.0
1962,Caribbean,26.0,0.0,0.0,0.0
1962,Eastern Asia,361.0,0.0,0.0,0.0
1962,Northern Africa,40.0,0.0,0.0,0.0
1962,South America,135.0,0.0,0.0,0.0
1962,Southern Asia,173.0,0.0,0.0,0.0
1962,Southern Europe,445.0,0.0,80000.0,0.0
1963,Caribbean,500.0,0.0,0.0,0.0
1963,Northern Africa,169.0,80400.0,0.0,0.0
1963,Southern Asia,337.0,0.0,0.0,0.0
1963,Western Asia,25.0,0.0,0.0,0.0
1964,Eastern Africa,0.0,25000.0,0.0,0.0
1964,Eastern Asia,136.0,0.0,0.0,0.0
1964,Melanesia,1.0,8000.0,1100.0,0.0
1964,Northern Africa,125.0,21000.0,3000.0,0.0
1964,Northern America,109.0,0.0,820000.0,0.0
1964,South America,100.0,120000.0,500.0,0.0
1964,South-Eastern Asia,400.0,0.0,0.0,0.0
1964,Southern Asia,232.0,1845037.0,6000.0,0.0
1964,Southern Europe,0.0,200000.0,62600.0,0.0
1964,Western Asia,20.0,4000.0,0.0,0.0
1965,Central America,27.0,6000.0,8500.0,0.0
1965,Eastern Asia,465.0,3321000.0,126500.0,0.0
1965,Northern Africa,75.0,47813.0,5000.0,0.0
1965,South America,728.0,655500.0,33100.0,0.0
1965,South-Eastern Asia,40.0,300000.0,1000.0,0.0
1965,Southern Europe,58.0,80000.0,347000.0,0.0
1965,Western Asia,8.0,500.0,1000.0,0.0
1966,Central America,20.0,1600.0,1000.0,0.0
1966,Eastern Asia,217.0,390465.0,34900.0,0.0
1966,Northern Africa,57.0,20000.0,10000.0,0.0
1966,South America,636.0,308371.0,92532.0,0.0
1966,South-Eastern Asia,513.0,919541.0,59300.0,0.0
1966,Southern Asia,151.0,1652347.0,7400.0,0.0
1966,Southern Europe,70.0,0.0,2000000.0,0.0
1966,Western Africa,0.0,2000.0,50.0,0.0
1966,Western Asia,259.0,3200.0,1400.0,0.0
1967,Central America,0.0,8345.0,500.0,0.0
1967,Eastern Africa,0.0,51200.0,180500.0,0.0
1967,Eastern Asia,489.0,117.0,20000.0,0.0
1967,Northern Africa,20.0,30000.0,3000.0,0.0
1967,South America,909.0,435899.0,76526.0,0.0
1967,South-Eastern Asia,210.0,289000.0,25600.0,0.0
1967,Southern Asia,356.0,1197000.0,5800.0,0.0
1967,Southern Europe,462.0,1000.0,3000.0,0.0
1967,Western Asia,0.0,240000.0,10000.0,0.0
1968,Central America,0.0,1300.0,1500.0,0.0
1968,Eastern Africa,41.0,67000.0,1970.0,0.0
1968,South America,24.0,20000.0,3000.0,0.0
1968,South-Eastern Asia,43.0,159000.0,9111.0,0.0
1968,Southern Africa,0.0,0.0,30000.0,0.0
1968,Southern Asia,6979.0,23411892.0,293900.0,0.0
1968,Southern Europe,72.0,0.0,0.0,0.0
1968,Western Africa,0.0,25000.0,74700.0,0.0
1968,Western Asia,147.0,150000.0,3000.0,0.0
1969,Central America,7.0,4580.0,4000.0,0.0
1969,Eastern Africa,0.0,2300.0,200.0,0.0
1969,Eastern Asia,408.0,229264.0,22400.0,0.0
1969,Northern Africa,616.0,471269.0,110000.0,0.0
1969,Northern America,115.0,0.0,400000.0,0.0
1969,South America,316.0,92300.0,6320.0,0.0
1969,South-Eastern Asia,0.0,0.0,0.0,0.0
1969,Southern Asia,82.0,1000000.0,8500.0,0.0
1970,Caribbean,63.0,200.0,500.0,0.0
1970,Central America,107.0,59045.0,45000.0,0.0
1970,Eastern Asia,28.0,8070.0,0.0,0.0
1970,Eastern Europe,515.0,238755.0,585000.0,0.0
1970,Northern Africa,11.0,266441.0,30000.0,0.0
1970,South America,638.0,5389971.0,215570.0,0.0
1970,South-Eastern Asia,470.0,447000.0,37000.0,0.0
1970,Southern Asia,1377.0,20020000.0,126200.0,0.0
1970,Southern Europe,37.0,1300000.0,268300.0,0.0
1970,Western Africa,0.0,0.0,200.0,0.0
1971,Australia and New Zealand,27.0,0.0,20000.0,0.0
1971,Eastern Africa,500.0,500000.0,0.0,0.0
1971,South America,540.0,391400.0,6100.0,0.0
